match_basis	kewa_seq	vol	page	deva	iast_printed	kewa_slp1	pwg_key1	witness	lemma_route	flags
ambiguous-multi	5225	II	240-241	पश्यति	páśyati	paSyati	dfS|paS	dcs	dfS|paS	
ambiguous-multi	5312	II	263-264	पाली	pālī	pAlI	pAli|pAlin	dcs	pAli|pAlin	
ambiguous-multi	5782	II	375	प्राङ्	prā́ṅ	prAN	prAYc|prAk	dcs	prAYc|prAk	
ambiguous-multi	6941	III	6-7	यन्ता	yantā́	yantA	i|yam	dcs	i|yam	
ambiguous-multi	7068	III	36-37	रण्यति	ráṇyati	raRyati	raR|ran	dcs	raR|ran	
ambiguous-multi	7946	III	251-252	वृषा	vṛ́ṣā	vfzA	vfza|vfzan	dcs	vfza|vfzan	
ambiguous-multi	8603	III	429	संध्या	saṃdhyā́	saMDyA	saMDi|taTAviDa	dcs	saMDi|taTAviDa	
ambiguous-multi	9243	III	592	हासते	hāsate	hAsate	hA|hAs	dcs	hA|hAs	
exact	164	I	32	अन-	ana-	ana	ana	PWG-key1	an|ana|anas	bound-prefix-or-stem|routes-disagree
exact	422	I	61	अश्र-	aśrá-	aSra	aSra	PWG-key1	asra	bound-prefix-or-stem|routes-disagree
exact	484	I	68	अही	ahī́	ahI	ahI	PWG-key1	ahi	routes-disagree
sandhi/diacritic-normalized	657	I	87	इनः	ináḥ	inaH	ina	rule	in|ina	routes-disagree
exact	1562	I	209-210	किम्	kím	kim	kim	PWG-key1	ka|kim	routes-disagree
exact	1654	I	222	कुटी	kuṭī	kuwI	kuwI	PWG-key1	kuwI|kuwi	routes-disagree
sandhi/diacritic-normalized	2772	I	383	चायमानः	cā́yamānaḥ	cAyamAnaH	cAyamAna	rule	cAy	routes-disagree
sandhi/diacritic-normalized	2841	I	393	चीर्णः	cīrṇaḥ	cIrRaH	cIrRa	rule	car	routes-disagree
exact	3676	I	524	तृषा	tṛṣā	tfzA	tfzA	PWG-key1	tfz|tfzA	routes-disagree
exact	6186	II	490	भा-	bhā-	BA	BA	PWG-key1	BA|BAs	bound-prefix-or-stem|routes-disagree
exact	6447	II	570-572	मधु	mádhu	maDu	maDu	PWG-key1	maDu|rUpa	routes-disagree
sandhi/diacritic-normalized	9584	III	640	आमः	āmáḥ	AmaH	Ama	rule	Am|Ama	routes-disagree
inflected-form->stem	5966	II	415-416	बर्हिः	barhíḥ	barhiH	barhis	dcs	barhis	
inflected-form->stem	7337	III	98	लाजाः	lājā́ḥ	lAjAH	lAja	dcs	lAja	
inflected-form->stem	8107	III	295	शनैः	śánaiḥ	SanEH	SanEs	dcs	SanEs	
inflected-form->stem	8257	III	342	शिरः	śiraḥ	SiraH	Siras	dcs	Sira|Siras	as-stem-disambiguated
inflected-form->stem	9465	III	630	अमू-	amū-	amU	adas	dcs	adas	bound-prefix-or-stem
inflected-form->stem	9504	III	634	अर्शः	árśaḥ	arSaH	arSas	dcs	arSas	as-stem-disambiguated
sandhi/diacritic-normalized	201	I	36	अन्त्यः	ántyaḥ	antyaH	antya	rule	antya	
sandhi/diacritic-normalized	2290	I	311	खेटम्	kheṭam	Kewam	Kewa	rule	Kewa	
sandhi/diacritic-normalized	2497	I	342	गूथः	gūthaḥ	gUTaH	gUTa	rule		
sandhi/diacritic-normalized	3271	I	456	टङ्कः	ṭaṅkaḥ	waNkaH	waNka	rule	waNka	
sandhi/diacritic-normalized	8261	III	342	शिरिः	śiriḥ	SiriH	Siri	rule		
sandhi/diacritic-normalized	9319	III	608-609	हेरम्बः	herambaḥ	herambaH	heramba	rule	heramba	
unmatched	1603	I	215	कीरिन्-	kīrin-	kIrin				bound-prefix-or-stem
unmatched	2217	I	301	खनित्रा	khanítrā	KanitrA				
unmatched	4285	II	39	दाहयति	dāhayati	dAhayati				
unmatched	6697	II	640	मिलिन्दः	milindaḥ	milindaH				
unmatched	7105	III	46	रव्-	rav-	rav				bound-prefix-or-stem
unmatched	9129	III	558	स्रोया	sroyā	sroyA				
exact	961	I	122	ऋतया	ṛtayā́	ftayA	ftayA	PWG-key1	ftayA	
exact	7082	III	40	रन्	rán	ran	ran	PWG-key1	ran	
present-stem->root	2930	I	404	छमति	chámati	Camati	Cam	rule		rule-rung-applied
present-stem->root	4099	I	568	जरते	járate	jarate	jar	rule		rule-rung-applied
present-stem->root	4118	II	10	दक्षति	dákṣati	dakzati	dakz	rule		rule-rung-applied
present-stem->root	5712	II	362-363	प्रथति	práthati	praTati	praT	rule		rule-rung-applied
present-stem->root	7018	III	26	यूषति	yū́ṣati	yUzati	yUz	rule		rule-rung-applied
present-stem->root	7933	III	245-246	वृणोति	vṛṇoti	vfRoti	vfR	rule		rule-rung-applied
feminine->stem	3234	I	452	झम्पी	jhampī	JampI	Jampin	rule		rule-rung-applied
feminine->stem	4439	II	65	देशिनी	deśinī	deSinI	deSin	rule		rule-rung-applied
feminine->stem	6857	II	684	मेदिनी	medinī	medinI	medin	rule		rule-rung-applied
feminine->stem	8133	III	309	शर्करी	śarkarī	SarkarI	Sarkara	rule		rule-rung-applied
feminine->stem	8896	III	498-499	सृणी	sṛṇī́	sfRI	sfRa	rule		rule-rung-applied
feminine->stem	8918	III	503	सेवनी	sevanī	sevanI	sevanin	rule		rule-rung-applied
