id	stratum	sense_id	iast	de_span	ru_span	verdict	severity	confidence	refutation_criterion	note
R16	polysemy	pwg.sense:unresolved:yat:0	yat	verbünden, vereinigen	союзить, объединять	addition	high	high	Produce «союзить» in the sense "to ally" from a standard Russian dictionary (Ozhegov, Ushakov, BAS, Efremova).	«союзить» is not a Russian verb in this meaning; the only attested «союзить» is an obscure shoemaking term (to fit a vamp, from «союзка»). A non-word cannot be licensed by any source span, so this is the strongest lexical defect in the sample. Correctable to «соединять в союз» / «объединять». Same record, pair 3: the span {%Jmd%} receives «поручать кому-либо» -- the verb «поручать» has no German span here; this is the R10 redistribution shape.
R17	polysemy	pwg.sense:unresolved:gam:0	gam (83 senses)	{%einem Entweichenden%} (<ab>Acc.</ab>) {%nachgehen%}	{%преследовать ускользающего%} (<ab>Acc.</ab>)	conflation	medium	high	Show a German sub-sense in this record with no Russian counterpart at all.	INITIALLY suspected whole sub-senses dropped (115 German spans vs 111 Russian). REFUTED by re-probing at corrected byte offsets: sub-senses a) and b) are present. The real defect is four span merges of the R13 shape, each re-anchoring a grammar label. Largest record in the sample (8368 chars, 83 senses); meaning survives throughout.
R18	polysemy	pwg.sense:unresolved:vah:0	vah	ziehend folgen	следовать, влекомый/тянущийся вослед	omission	medium	high	Show that «влекомый/тянущийся» is a published Russian coordination rather than two unresolved candidate renderings.	An UNRESOLVED TRANSLATOR ALTERNATIVE shipped to readers: two candidate participles separated by a slash, an editorial artifact the accept gate did not catch. Correctable to one. Same record, pair 10: "heimführen" -> «вести домой», the literal reading, while R27 in this same sample renders "heimführen, heirathen" correctly as «брать в жёны, жениться» -- the marital sense is dropped here, a cross-record inconsistency for one German lemma.
R19	compound	pwg.sense:vraj:pari-vraj:1:1	vraj (pari)	als obdachloser Bettler umherwandern	вести нищенскую жизнь бездомного скитальца	faithful	low	medium	Show that «вести жизнь» excludes the itinerancy that umherwandern asserts.	The German predicate is the wandering, qualified "as a homeless beggar"; the Russian predicate is "to lead a life", with the wandering demoted to the noun «скитальца». The assertion survives inside the noun, so faithful -- but the head of the predication moved.
R20	compound	pwg.sense:vid:adhi + vid:1:1	adhi-vid	die erste Frau (<ab>acc.</ab>) durch eine zweite Frau (<ab>instr.</ab>) hintansetzen	ставить первую жену (<ab>acc.</ab>) позади второй жены (<ab>instr.</ab>)	addition	high	high	Show a German or Sanskrit basis for reading the instrumental here as a spatial relation ("behind") rather than an instrumental one ("by means of").	HEADLINE FINDING. German: to set the first wife aside BY MEANS OF a second (instr.). Russian: to place the first wife BEHIND the second -- a spatial/positional relation, and the (instr.) label is retained immediately after it, so the record now asserts that the Sanskrit instrumental carries a locative meaning. A Russian-reading Sanskritist derives the wrong construction semantics from a fluent, confident gloss. Compounding it, the Russian carries 6 spans to the German's 7 and from index 2 onward each Russian span renders the German span AFTER it, so index pairing is wrong for five of the seven (corrected 20-09-2026 on a primary re-read: an earlier note here said a single span was dropped). The same record renders hintansetzen correctly as «отставленная» twice later, so the defective rendering is the headline gloss, the one a reader meets first. Correctable.
R21	compound	pwg.sense:unresolved:dA:0	apādā	von einem Andern abtrennen und aufnehmen; abnehmen	отнимать у другого и принимать; снимать	faithful	high	high	Show that «отнимать» asserts dispossession where abtrennen asserts only detachment, in this ritual context.	MEANING faithful. STRUCTURAL DEFECT: the single {%...%} delimiter is absent (1 -> 0).
R22	compound	pwg.sense:unresolved:gam:0	apagam	4 spans, fortgehen/abgegangen family	4 unwrapped glosses	faithful	high	high	Show a German span in this record whose Russian is absent rather than unwrapped.	MEANING faithful ("vom guten Wandel abgestanden" -> «сбившийся с пути», anchored to the Sanskrit paTa in the adjacent citation). STRUCTURAL DEFECT: all 4 {%...%} delimiters absent (4 -> 0).
R23	compound	pwg.sense:unresolved:banD:0	avabandh	8 spans, anbinden/gefesselt family	8 glosses in guillemets, «привязывать» etc.	faithful	high	high	Show that guillemets are a licensed substitute for {%...%} in the published convention.	MEANING faithful. STRUCTURAL DEFECT of a distinct sub-shape: the Russian does not merely drop the {%...%} delimiters, it SUBSTITUTES Russian guillemets «...» for them. This is the tell that the model read {%...%} as "italics" and re-rendered it in a Russian typographic convention. Store-wide this sub-shape accounts for 133 of the 718 total-loss rows.
R24	compound	pwg.sense:unresolved:car:0	vi+car	10 spans, Bedenken/feststellen family	10 spans, сомневаться/устанавливать family	faithful	none	high	Show a Russian member outside its German span's range in any of the 10 pairs.	Clean across all 10 pairs, including the split idiom "in Zweifel | ziehen" whose two masked halves are correctly recombined. Base of the negative control.
R25	citation_dense	pwg.sense:gA:āgā:1:1	āgā	sich einstellen, eintreffen; Jmd treffen, heimsuchen	наступить, явиться; постигнуть кого-либо, обрушиться на	faithful	high	medium	Show that «обрушиться на» asserts a violence that heimsuchen excludes.	MEANING faithful; «обрушиться на» intensifies heimsuchen but stays inside its calamity range. STRUCTURAL DEFECT: both {%...%} delimiters absent (2 -> 0). Confidence medium on the intensification, high on the structural finding.
R26	citation_dense	pwg.sense:unresolved:banD:0	bandh (caus.)	binden -, gefangen setzen lassen	«велеть связать -- посадить в заключение»	faithful	high	high	Show that «велеть» here asserts a command where "lassen" asserts only causation, given the same rendering recurs across the store.	MEANING faithful. This record is the evidence that REFUTED the tentative addition verdict on R08. STRUCTURAL DEFECT: all 5 {%...%} delimiters replaced by guillemets (5 -> 0), same sub-shape as R23.
R27	citation_dense	pwg.sense:unresolved:vah:0	vivah	heimführen, heirathen	брать в жёны, жениться	faithful	none	high	Show that «брать в жёны» is unlicensed by "heimführen, heirathen".	Clean across all 10 pairs. Correctly reads heimführen in its marital sense -- which is what makes R18's «вести домой» for the same German lemma a cross-record inconsistency rather than a defensible choice.
R28	citation_dense	pwg.sense:vas:vas 3:3_main_sense:1	vas 3	anziehen, sich ein Gewand ... eine Form der Erscheinung annehmen	надевать, облачаться в одежду ... принимать облик, форму явления	faithful	high	high	Show a German span in this record whose Russian is absent rather than unwrapped.	MEANING faithful. STRUCTURAL DEFECT: all 3 {%...%} delimiters absent (3 -> 0). 88 citations, all preserved byte-identically.
R29	citation_dense	pwg.sense:unresolved:brU:0	anubrū	hersagen, recitiren	произносить вслед, рецитировать	faithful	medium	medium	Show that «произносить вслед» is unlicensed once the preverb anu- ("after") is taken into account.	«произносить вслед» renders "nachsprechen" rather than "hersagen"; it is nonetheless licensed by the preverb anu-, which the German gloss leaves implicit. Scored faithful with medium confidence: a reviewer could reasonably score this a low-severity addition. STRUCTURAL DEFECT: all 10 {%...%} delimiters absent (10 -> 0).
R30	citation_dense	pwg.sense:unresolved:yA:0	samāyā	kam über sie	напал на них	addition	medium	medium	Show that the Sanskrit passage cited at this locus is a hostile-encounter context, which would license «напал».	"kam über sie" asserts only that something came upon them; «напал на них» asserts a hostile attack. The German is deliberately neutral between befalling and attacking; the Russian resolves that neutrality without licence. Medium confidence precisely because the cited passage could license it -- the refutation criterion is checkable against the citation.
