pwk_L	pwk_pc	hw_slp1	iast	pipeline_tier	rank	mw_fuzzy	evidence	mw_forms	verdict	corr_n	corr_dicts	mahavy	mahavy_refs	dcs_lemma	dcs_form	body_chars	review_note
209456	7-289-b	akaluza	akaluṣa	nearform1.00		Akaluza		Akaluza	covered-by-fold-twin-flagged	3	bhs;sch;stc	0		1	1	39	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209457	7-289-b	akaluzAtman	akaluṣātman	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	108	
209458	7-289-b	akalkakalila	akalkakalila	NO-MATCH	B		B:akalpa		confirmed-missing	2	md;sch	0		0	0	44	
209466	7-289-b	akaSApa	akaśāpa	NO-MATCH	B		B:akavi		confirmed-missing	1	sch	0		0	0	58	
209467	7-289-b	akAku	akāku	NO-MATCH	C				confirmed-missing	3	md;sch;stc	0		0	0	37	
209468	7-289-b	akAYcana	akāñcana	nearform0.88		akiYcana		akiYcana	near-form-needs-eyes	1	sch	0		0	0	40	
209470	7-289-b	akApuruzavrata	akāpuruṣavrata	NO-MATCH	B		B:akAtara		confirmed-missing	1	sch	0		0	0	46	
209471	7-289-b	akAmayamAna	akāmayamāna	nearform0.86		amanyamAna		amanyamAna	near-form-needs-eyes	1	sch	0		0	0	44	
209472	7-289-b	akAmayAna	akāmayāna	nearform0.89		AkASayAna		AkASayAna	near-form-needs-eyes	2	sch;stc	0		1	0	41	
209473	7-289-b	akAmavikriya	akāmavikriya	NO-MATCH	A		A:akAmasaMjYapana		confirmed-missing	1	sch	0		0	0	44	
209475	7-289-c	akAmAtman	akāmātman	nearform0.89		AkASAtman		AkASAtman	near-form-needs-eyes	2	sch;yat	0		0	0	41	
209477	7-289-c	akAmya	akāmya	nearform0.92		Akramya		Akramya	near-form-needs-eyes	1	sch	0		1	0	38	
209479	7-289-c	akAraRaka	akāraṇaka	nearform0.94		akarRaka		akarRaka	near-form-needs-eyes	1	sch	0		1	0	64	
209480	7-289-c	akArpaRya	akārpaṇya	nearform0.89		AkAraRIya		AkAraRIya	near-form-needs-eyes	6	ap;ap90;md;sch;stc;vcp	0		1	1	47	
209481	7-289-c	akAryakzama	akāryakṣama	NO-MATCH	B		B:akArzRya		confirmed-missing	1	sch	0		0	0	43	
209485	7-289-c	akiMcinmaya	akiṃcinmaya	NO-MATCH	A		A:akAvaNka;A:akilina		confirmed-missing	1	sch	0		0	0	43	
209487	7-289-c	akilbiza	akilbiṣa	nearform0.88		akilviza		akilviza	near-form-needs-eyes	3	ap;sch;stc	0		1	0	44	
209488	7-289-c	akIrtanIya	akīrtanīya	nearform0.80		anukIrtana		anukIrtana	near-form-needs-eyes	2	md;sch	0		0	0	42	
209489	7-289-c	akuYcita	akuñcita	nearform1.00		AkuYcita		AkuYcita	covered-by-fold-twin-flagged	2	md;sch	0		1	0	40	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209490	7-289-c	akuwila	akuṭila	nearform1.00		Akuwila		Akuwila	covered-by-fold-twin-flagged	3	md;sch;stc	0		0	0	39	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209492	7-289-c	akuRWamaRqala	akuṇṭhamaṇḍala	NO-MATCH	B		B:akuRWaDizRya;B:akuRWita		confirmed-missing	1	sch	0		0	0	45	
209494	7-289-c	akuRqalin	akuṇḍalin	nearform0.82		akuRqala		akuRqala	near-form-needs-eyes	1	sch	0		1	0	41	
209497	7-289-c	akupAna	akupāna	nearform0.86		anupAna		anupAna	near-form-needs-eyes	1	sch	0		0	0	39	
209498	7-289-c	akupita	akupita	nearform0.86		ayupita		ayupita	near-form-needs-eyes	1	sch	0		1	0	39	
209503	7-289-c	akulaja	akulaja	nearform0.86		akulaka		akulaka	near-form-needs-eyes	3	ben;md;sch	0		0	0	39	
209508	7-289-c	akUwaka	akūṭaka	NO-MATCH	A		A:akUjana		confirmed-missing	1	sch	0		1	0	59	
209509	7-289-d	akfcCralaNGya	akṛcchralaṅghya	NO-MATCH	B		B:akfcCrin		confirmed-missing	2	md;sch	0		0	0	45	
209512	7-289-d	akftaka	akṛtaka	nearform0.86		aBftaka		aBftaka	near-form-needs-eyes	4	ben;bhs;md;sch	0		1	1	113	
209514	7-289-d	akftaprajYa	akṛtaprajña	NO-MATCH	B		B:akftakftya		confirmed-missing	1	sch	0		0	0	94	
209515	7-289-d	akftalakzaRa	akṛtalakṣaṇa	NO-MATCH	C				confirmed-missing	2	md;sch	0		0	0	63	
209516	7-289-d	akftavyUha	akṛtavyūha	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	64	
209517	7-289-d	akftaSrama	akṛtaśrama	nearform0.80		akftakAram		akftakAram	near-form-needs-eyes	3	md;pe;sch	0		0	0	62	
209518	7-289-d	akftAgas	akṛtāgas	NO-MATCH	C				confirmed-missing	2	ben;sch	0		0	0	40	
209519	7-289-d	akftAgra	akṛtāgra	nearform0.88		akftArTa		akftArTa	near-form-needs-eyes	1	sch	0		0	0	59	
209524	7-289-d	akfSAnekakaRwaka	akṛśānekakaṇṭaka	NO-MATCH	A		B:akfSalakzmI;A:akfzwa		confirmed-missing	2	sch;stc	0		0	0	193	
209526	7-289-d	akfzwarohin	akṛṣṭarohin	NO-MATCH	A		A:akfzwa		confirmed-missing	3	ap;lrv;sch	0		0	0	43	
209527	7-289-d	akfzRa	akṛṣṇa	nearform0.91		akzRa		akzRa	near-form-needs-eyes	4	ap;ap90;sch;vcp	0		1	1	38	
209528	7-289-d	akxpta	akḷpta	NO-MATCH	B		B:akopa		confirmed-missing	1	sch	0		0	0	54	
209531	7-289-d	akopayant	akopayant	NO-MATCH	B		B:akopana		confirmed-missing	3	cae;ccs;sch	0		0	0	86	
209532	7-289-d	akOdreya	akaudreya	NO-MATCH	B		B:akOSala		confirmed-missing	1	sch	0		0	0	40	
209534	7-289-d	akOsIdya	akausīdya	NO-MATCH	A		B:akOSala;A:akkA		confirmed-missing	2	bhs;sch	0		0	0	83	
209537	7-289-d	akratusaMyukta	akratusaṃyukta	NO-MATCH	A		A:akti;B:akrama		confirmed-missing	1	sch	0		0	0	137	
209542	7-289-d	akrimi	akrimi	NO-MATCH	A		A:akramoQA;B:akriya		confirmed-missing	1	sch	0		0	0	39	
209544	7-290-a	akriyAka	akriyāka	NO-MATCH	B		B:akriya		confirmed-missing	2	md;sch	0		0	0	40	
209545	7-290-a	akrIRant	akrīṇant	NO-MATCH	A		A:akrIta		confirmed-missing	1	sch	0		0	0	40	
209548	7-290-a	akrUraMkAra	akrūraṃkāra	NO-MATCH	A		A:akrUra		confirmed-missing	1	sch	0		0	0	44	
209549	7-290-a	akrUraparivAra	akrūraparivāra	NO-MATCH	A		A:akroDa		confirmed-missing	1	sch	0		0	0	46	
209551	7-290-a	akroSant	akrośant	nearform0.88		AkroSana		AkroSana	near-form-needs-eyes	2	sch;stc	0		0	0	40	
209558	7-290-a	akzakUwa	akṣakūṭa	nearform0.88		akzikUwa		akzikUwa	near-form-needs-eyes	4	ben;lrv;sch;vcp	0		0	0	40	
209561	7-290-a	akzataDAnA	akṣatadhānā	nearform0.80		akzapAtana		akzapAtana	near-form-needs-eyes	1	sch	0		0	0	42	
209562	7-290-a	akzatasaktu	akṣatasaktu	NO-MATCH	A		A:akzatAmaya		confirmed-missing	1	sch	0		0	0	43	
209564	7-290-a	akzatodaka	akṣatodaka	nearform0.86		akzayyodaka		akzayyodaka	near-form-needs-eyes	1	sch	0		0	0	42	
209565	7-290-a	akzatriya	akṣatriya	nearform0.89		akzapriya		akzapriya	near-form-needs-eyes	1	sch	0		0	0	59	
209566	7-290-a	akzadevanapaRI	akṣadevanapaṇī	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	46	
209567	7-290-a	akzadevitar	akṣadevitar	NO-MATCH	B		B:akzadevin		confirmed-missing	1	sch	0		0	0	43	
209579	7-290-a	akzamAlAmaya	akṣamālāmaya	NO-MATCH	A		A:akzamA		confirmed-missing	1	sch	0		0	0	44	
209580	7-290-a	akzamAvant	akṣamāvant	NO-MATCH	A		A:akzamin		confirmed-missing	1	sch	0		0	0	42	
209601	7-290-b	akzasUtraka	akṣasūtraka	nearform0.82		AkzepasUtra		AkzepasUtra	near-form-needs-eyes	1	sch	0		1	0	43	
209609	7-290-b	akzAlita	akṣālita	nearform0.93		akalita		akalita	near-form-needs-eyes	2	md;sch	0		1	0	40	
209612	7-290-b	akzicCidra	akṣicchidra	NO-MATCH	B		B:akzikUwa		confirmed-missing	1	sch	0		0	0	42	
209613	7-290-b	akziRvant	akṣiṇvant	nearform0.94		akziRvat		akziRvat	near-form-needs-eyes	2	cae;sch	0		0	0	41	
209615	7-290-b	akzipaTa	akṣipatha	nearform0.93		akzipat		akzipat	near-form-needs-eyes	1	sch	0		0	0	40	
209617	7-290-b	akziruj	akṣiruj	NO-MATCH	A		A:akzibanDa		confirmed-missing	1	sch	0		0	0	39	
209618	7-290-b	akzirogavant	akṣirogavant	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	62	
209619	7-290-b	akzIRabudDi	akṣīṇabuddhi	NO-MATCH	B		B:akzIba		confirmed-missing	1	sch	0		0	0	43	
209621	7-290-b	akzIrAkzArAlavaRa	akṣīrākṣārālavaṇa	NO-MATCH	B		B:akzIba;B:akzu		confirmed-missing	0		0		0	0	49	
209625	7-290-b	akzetratara	akṣetratara	NO-MATCH	B		B:akzetrajYa		confirmed-missing	3	ccs;md;sch	0		0	0	47	
209626	7-290-b	akzema	akṣema	nearform0.83		akzama		akzama	near-form-needs-eyes	2	sch;stc	0		1	0	56	
209630	7-290-b	akzyupanizad	akṣyupaniṣad	NO-MATCH	B		B:akzRayAkfta		confirmed-missing	2	acc;sch	0		0	0	44	
209631	7-290-b	aKaYja	akhañja	NO-MATCH	A		A:aKaRqamaRqala		confirmed-missing	2	md;sch	0		0	0	38	
209633	7-290-b	aKaRqArTanirUpaRa	akhaṇḍārthanirūpaṇa	NO-MATCH	A		A:aKaRqamaRqala		confirmed-missing	2	acc;sch	0		0	0	49	
209634	7-290-c	aKaRqitAjYa	akhaṇḍitājña	NO-MATCH	C				confirmed-missing	2	md;sch	0		0	0	43	
209635	7-290-c	aKaRqopADi	akhaṇḍopādhi	nearform1.00		aKaRqopaDi		aKaRqopaDi	covered-by-fold-twin-flagged	1	sch	0		0	0	153	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209636	7-290-c	aKaRqyamAna	akhaṇḍyamāna	NO-MATCH	B		B:aKarva		confirmed-missing	1	sch	0		0	0	43	
209640	7-290-c	aKAdant	akhādant	nearform0.80		apadAnta		apadAnta	near-form-needs-eyes	2	sch;stc	0		0	0	42	
209642	7-290-c	aKilalokanATa	akhilalokanātha	NO-MATCH	A		A:aKinna		confirmed-missing	1	sch	0		0	0	45	
209643	7-290-c	aKileSvara	akhileśvara	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	42	
209644	7-290-c	agaRayant	agaṇayant	NO-MATCH	C				confirmed-missing	4	cae;ccs;sch;stc	0		0	0	66	
209645	7-290-c	agaRya	agaṇya	NO-MATCH	C				confirmed-missing	9	ap;ap90;bhs;md;pwg;sch;stc;vcp;yat	0		1	1	41	
209646	7-290-c	agataSrI	agataśrī	NO-MATCH	B		B:agati		confirmed-missing	1	sch	0		0	0	57	
209659	7-290-c	agastikusuma	agastikusuma	NO-MATCH	A		A:agarBa;B:agastI		confirmed-missing	1	sch	0		0	0	44	
209661	7-290-c	agastyagfhapatika	agastyagṛhapatika	nearform0.97		agastyagfhaspatika		agastyagfhaspatika	near-form-needs-eyes	1	sch	0		0	0	49	
209662	7-290-c	agastyaniGaRwu	agastyanighaṇṭu	NO-MATCH	C				confirmed-missing	2	acc;sch	0		0	0	46	
209663	7-290-c	agastyavawa	agastyavaṭa	NO-MATCH	A		A:agastyaSAsta		confirmed-missing	3	inm;mci;sch	0		0	0	43	
209665	7-290-c	agastyasaMpAta	agastyasaṃpāta	nearform0.86		agastyasaMhitA		agastyasaMhitA	near-form-needs-eyes	2	acc;sch	0		0	0	46	
209666	7-290-c	agastyASrama	agastyāśrama	nearform0.83		agastyaSAsta		agastyaSAsta	near-form-needs-eyes	3	inm;mci;sch	0		0	0	44	
209668	7-290-c	agADabudDi	agādhabuddhi	NO-MATCH	A		B:agADa;A:agAra		confirmed-missing	1	sch	0		0	0	42	
209672	7-290-c	agArdaBaraTika	agārdabharathika	NO-MATCH	A		A:agArastUpa		confirmed-missing	1	sch	0		0	0	62	
209673	7-290-c	agiriBid	agiribhid	nearform0.80		adriBid		adriBid	near-form-needs-eyes	1	sch	0		0	0	40	
209674	7-290-c	aguYjin	aguñjin	NO-MATCH	B		B:aguRa		confirmed-missing	1	sch	0		0	0	39	
209678	7-290-d	aguRyatA	aguṇyatā	nearform0.93		aguRatA		aguRatA	near-form-needs-eyes	1	sch	0		0	0	40	
209680	7-290-d	aguruka	aguruka	NO-MATCH	B		B:aguru		confirmed-missing	1	sch	0		1	0	39	
209681	7-290-d	agurugavI	agurugavī	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	41	
209682	7-290-d	agurutalpa	agurutalpa	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	42	
209683	7-290-d	agurusAra	agurusāra	nearform0.82		agrasArA		agrasArA	near-form-needs-eyes	3	md;pwg;sch	0		0	0	44	
209684	7-290-d	agfDnu	agṛdhnu	NO-MATCH	B		B:agfha		confirmed-missing	4	ben;fri;md;sch	0		1	0	38	
209686	7-290-d	agfhRant	agṛhṇant	nearform0.93		agfhRat		agfhRat	near-form-needs-eyes	3	cae;ccs;sch	0		0	0	40	
209688	7-290-d	agfhyamARakAraRa	agṛhyamāṇakāraṇa	NO-MATCH	A		A:agfhya;B:ago		confirmed-missing	1	pwg	0		0	0	51	
209690	7-290-d	agoarGa	agoargha	NO-MATCH	B		B:ago;B:agocara		confirmed-missing	1	sch	0		0	0	40	
209692	7-290-d	agotracaraRa	agotracaraṇa	NO-MATCH	B		B:agocara		confirmed-missing	1	sch	0		0	0	86	
209693	7-290-d	agopAla	agopāla	nearform1.00		AgopAla		AgopAla	covered-by-fold-twin-flagged	5	cae;ccs;md;sch;stc	0		1	0	67	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209694	7-290-d	agorasa	agorasa	nearform0.80		agrasara		agrasara	near-form-needs-eyes	1	sch	0		0	0	39	
209696	7-290-d	agozpada	agoṣpada	NO-MATCH	B		B:agoruDa		confirmed-missing	1	sch	0		0	0	40	
209697	7-290-d	agOpavana	agaupavana	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	41	
209698	7-290-d	agnAvizRu	agnāviṣṇu	stem				agnAvizRU	covered-by-MW-stem-form	4	gst;pwg;sch;vcp	0		1	0	46	
209707	7-290-d	agnijananaviDi	agnijananavidhi	NO-MATCH	B		B:agnija;B:agnijihva		confirmed-missing	2	acc;sch	0		0	0	46	
209711	7-290-d	agnitanU	agnitanū	stem				agnitanu	covered-by-MW-stem-form	1	sch	0		0	0	58	
209713	7-290-d	agnidEva	agnidaiva	nearform1.00		agnideva		agnideva	covered-by-fold-twin-flagged	1	sch	0		0	0	40	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209719	7-290-d	agnipiRqa	agnipiṇḍa	NO-MATCH	A		B:agnipada;A:agniputra		confirmed-missing	1	sch	0		0	0	41	
209721	7-290-d	agnipUjA	agnipūjā	NO-MATCH	A		A:agniputra		confirmed-missing	1	sch	0		0	0	40	
209722	7-290-d	agnipUta	agnipūta	nearform0.88		agnidUta		agnidUta	near-form-needs-eyes	1	sch	0		0	0	40	
209724	7-291-a	agnipraskandana	agnipraskandana	NO-MATCH	A		A:agnipraRayana		confirmed-missing	2	sch;vcp	0		0	0	141	
209725	7-291-a	agniBaya	agnibhaya	nearform0.88		agnicaya		agnicaya	near-form-needs-eyes	1	sch	0		0	0	59	
209734	7-291-a	agnizwomayAgaviDi	agniṣṭomayāgavidhi	NO-MATCH	B		B:agnizwut;B:agnizWa		confirmed-missing	2	acc;sch	0		0	0	49	
209742	7-291-a	agnihotraprAyaScitta	agnihotraprāyaścitta	NO-MATCH	A		A:agnihotraprAyaRa;B:agnihotrin		confirmed-missing	2	acc;sch	0		0	0	52	
209745	7-291-a	agnIvaruRa	agnīvaruṇa	nearform1.00		AgnivAruRa		AgnivAruRa	covered-by-fold-twin-flagged	3	pwg;sch;vcp	0		1	0	47	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209749	7-291-a	agnyavaBfTa	agnyavabhṛtha	NO-MATCH	B		B:agnyarcis;B:agnyADeya		confirmed-missing	1	sch	0		0	0	46	
209751	7-291-a	agnyupasaminDana	agnyupasamindhana	NO-MATCH	B		B:agnyADeya;B:agnyupasTAna		confirmed-missing	1	sch	0		0	0	48	
209755	7-291-a	agragatvara	agragatvara	NO-MATCH	A		A:agragaRanA;B:agragrAsikA		confirmed-missing	1	sch	0		0	0	43	
209759	7-291-a	agrataHsTa	agrataḥstha	nearform0.86		agrataHsara		agrataHsara	near-form-needs-eyes	1	sch	0		0	0	42	
209760	7-291-a	agratoraTa	agratoratha	nearform0.84		agratIrTa		agratIrTa	near-form-needs-eyes	2	md;sch	0		0	0	42	
209761	7-291-a	agradAtar	agradātar	nearform0.82		agradAtf		agradAtf	near-form-needs-eyes	1	sch	0		0	0	41	
209765	7-291-a	agraBogin	agrabhogin	NO-MATCH	B		B:agraBUmi		confirmed-missing	1	sch	0		0	0	41	
209766	7-291-a	agraBojana	agrabhojana	nearform0.84		agraBojya		agraBojya	near-form-needs-eyes	1	sch	0		0	0	42	
209769	7-291-b	agravakra	agravakra	nearform0.95		agravaktra		agravaktra	near-form-needs-eyes	1	sch	0		1	0	41	
209775	7-291-b	agrahoma	agrahoma	NO-MATCH	A		A:agrahaRa;A:agrAgra		confirmed-missing	1	sch	0		0	0	40	
209778	7-291-b	agrAmyakanda	agrāmyakanda	NO-MATCH	A		A:agrAnta		confirmed-missing	1	sch	0		0	0	63	
209779	7-291-b	agrAha	agrāha	nearform1.00		agraha		agraha	covered-by-fold-twin-flagged	2	bhs;sch	0		1	0	38	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209785	7-291-b	agryamahizI	agryamahiṣī	nearform0.95		agramahizI		agramahizI	near-form-needs-eyes	1	sch	0		0	0	43	
209786	7-291-b	aglAsnu	aglāsnu	nearform0.80		agrasAnu		agrasAnu	near-form-needs-eyes	1	sch	0		0	0	54	
209787	7-291-b	aGawita	aghaṭita	NO-MATCH	C				confirmed-missing	3	md;sch;stc	0		0	0	42	
209788	7-291-b	aGadIpikA	aghadīpikā	NO-MATCH	B		B:aGana		confirmed-missing	2	acc;sch	0		0	0	41	
209790	7-291-b	aGapaYcavivecana	aghapañcavivecana	NO-MATCH	B		B:aGana		confirmed-missing	2	acc;sch	0		0	0	68	
209791	7-291-b	aGaBeda	aghabheda	NO-MATCH	B		B:aGamarzaRa		confirmed-missing	1	sch	0		0	0	39	
209794	7-291-b	aGavivecana	aghavivecana	NO-MATCH	B		B:aGarma;B:aGaSaMsa		confirmed-missing	2	acc;sch	0		0	0	43	
209797	7-291-b	aGazawka	aghaṣaṭka	NO-MATCH	B		B:aGaSaMsin;B:aGAtuka		confirmed-missing	2	acc;sch	0		0	0	92	
209802	7-291-b	aGorakalpa	aghorakalpa	NO-MATCH	B		B:aGfRin;B:aGoraGoratara		confirmed-missing	3	acc;pui;sch	0		0	0	45	
209804	7-291-b	aGnyAtva	aghnyātva	nearform1.00		aGnyatva		aGnyatva	covered-by-fold-twin-flagged	1	sch	0		0	0	41	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209806	7-291-b	aNkatA	aṅkatā	stem				aNkati	covered-by-MW-stem-form	1	sch	0		0	0	38	
209807	7-291-b	aNkanaSAstra	aṅkanaśāstra	NO-MATCH	B		B:aNkapASa		confirmed-missing	2	acc;sch	0		0	0	44	
209809	7-291-b	aNkAy	aṅkāy	stem				aNkAya	covered-by-MW-stem-form	0		0		0	0	39	
209811	7-291-b	aNkur	aṅkur	stem				aNkura	covered-by-MW-stem-form	0		0		0	0	203	
209812	7-291-b	aNkuray	aṅkuray	stem				aNkuraya	covered-by-MW-stem-form	3	ccs;pwg;sch	0		0	0	44	
209816	7-291-c	aNkuSaKewin	aṅkuśakheṭin	NO-MATCH	B		B:aNkuSa		confirmed-missing	1	sch	0		0	0	46	
209817	7-291-c	aNkuSaDara	aṅkuśadhara	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	132	
209818	7-291-c	aNkuSeSvara	aṅkuśeśvara	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	43	
209819	7-291-c	aNkUray	aṅkūray	stem				aNkUraya	covered-by-MW-stem-form	2	pwg;sch	0		0	0	82	
209823	7-291-c	aNgaGawanA	aṅgaghaṭanā	NO-MATCH	A		A:aNgakriyA;B:aNgaja		confirmed-missing	1	sch	0		0	0	42	
209825	7-291-c	aNgatas	aṅgatas	stem				aNgatA;aNgati	covered-by-MW-stem-form	2	ben;sch	0		0	0	39	
209826	7-291-c	aNgatvanirukti	aṅgatvanirukti	NO-MATCH	C				confirmed-missing	2	acc;sch	0		0	0	46	
209827	7-291-c	aNgadinna	aṅgadinna	NO-MATCH	C				confirmed-missing	2	bhs;sch	0		0	0	104	
209828	7-291-c	aNgapragraha	aṅgapragraha	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	44	
209829	7-291-c	aNgaBaNga	aṅgabhaṅga	nearform0.82		avaBaNga		avaBaNga	near-form-needs-eyes	3	cae;ccs;sch	0		1	1	92	
209830	7-291-c	aNgaBUta	aṅgabhūta	NO-MATCH	A		A:aNgaBeda		confirmed-missing	1	sch	0		0	0	40	
209834	7-291-c	aNgalatikA	aṅgalatikā	nearform0.80		ANgalOkika		ANgalOkika	near-form-needs-eyes	2	ben;sch	0		0	0	42	
209835	7-291-c	aNgalepA	aṅgalepā	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	110	
209836	7-291-c	aNgaloman	aṅgaloman	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	41	
209837	7-291-c	aNgavAdA	aṅgavādā	NO-MATCH	A		A:aNgavAhaka		confirmed-missing	1	sch	0		0	0	40	
209842	7-291-c	aNgArakalikA	aṅgārakalikā	nearform0.83		aNgAraDAnikA		aNgAraDAnikA	near-form-needs-eyes	1	sch	0		0	0	44	
209843	7-291-c	aNgArakA	aṅgārakā	stem				aNgAraka	covered-by-MW-stem-form	2	pe;sch	0		0	0	125	
209846	7-291-c	aNgAraDUmavant	aṅgāradhūmavant	NO-MATCH	B		B:aNgAraDAnikA		confirmed-missing	1	sch	0		0	0	65	
209847	7-291-c	aNgAravAhikA	aṅgāravāhikā	nearform0.83		aNgArajIvikA		aNgArajIvikA	near-form-needs-eyes	2	pui;sch	0		1	1	62	
209851	7-291-c	aNgAreSvara	aṅgāreśvara	nearform0.86		aNgAravAra		aNgAravAra	near-form-needs-eyes	1	sch	0		1	0	43	
209857	7-291-d	aNgulIPaRahastaka	aṅgulīphaṇahastaka	NO-MATCH	A		B:aNgulivezwaka;A:aNgulIBaNga		confirmed-missing	2	bhs;sch	0		0	0	49	
209859	7-291-d	aNgulIvikzepam	aṅgulīvikṣepam	NO-MATCH	A		A:aNgulIBaNga		confirmed-missing	1	sch	0		0	0	115	
209860	7-291-d	aNgulya	aṅgulya	nearform0.93		aNgulIya		aNgulIya	near-form-needs-eyes	1	sch	0		1	0	39	
